Data Entrada,Data Saída,Direção,Tipo,Preço Entrada,Preço Saída,P&L (%),Motivo Saída
2014-11-15 00:00:00+00:00,2014-11-16 00:00:00+00:00,LONG,L Trend,376.133,369.482,-1.7682,Alvo Atingido
2014-11-20 00:00:00+00:00,2014-11-24 00:00:00+00:00,LONG,L Pullback,357.84,386.2366,7.9355,Alvo Atingido
2014-11-25 00:00:00+00:00,2014-12-06 00:00:00+00:00,LONG,L Pullback,375.348,374.785,-0.15,Fim Tendência (Cinza)
2014-12-07 00:00:00+00:00,2014-12-08 00:00:00+00:00,SHORT,S Trend,375.095,367.027,2.1509,Alvo Atingido
2014-12-23 00:00:00+00:00,2015-01-03 00:00:00+00:00,SHORT,S Pullback,334.572,297.1144,11.1957,Alvo Atingido
2015-01-07 00:00:00+00:00,2015-01-10 00:00:00+00:00,SHORT,S Pullback,294.337,275.6104,6.3623,Alvo Atingido
2015-01-21 00:00:00+00:00,2015-01-27 00:00:00+00:00,SHORT,S Pullback,226.897,263.475,-16.121,Fim Tendência (Cinza)
2015-01-28 00:00:00+00:00,2015-01-29 00:00:00+00:00,LONG,L Trend,233.915,217.9127,-6.8411,Alvo Atingido
2015-02-11 00:00:00+00:00,2015-02-13 00:00:00+00:00,LONG,L Pullback,219.185,226.8737,3.5078,Alvo Atingido
2015-02-26 00:00:00+00:00,2015-02-27 00:00:00+00:00,LONG,L Pullback,236.426,245.0563,3.6503,Alvo Atingido
2015-03-14 00:00:00+00:00,2015-03-21 00:00:00+00:00,LONG,L Pullback,281.885,260.025,-7.7549,Reversão L→S
2015-03-21 00:00:00+00:00,2015-03-22 00:00:00+00:00,SHORT,S Trend,260.025,281.6575,-8.3194,Alvo Atingido
2015-04-03 00:00:00+00:00,2015-04-10 00:00:00+00:00,SHORT,S Pullback,254.322,237.1743,6.7425,Alvo Atingido
2015-04-21 00:00:00+00:00,2015-04-26 00:00:00+00:00,SHORT,S Pullback,235.269,215.6551,8.3368,Alvo Atingido
2015-04-27 00:00:00+00:00,2015-05-02 00:00:00+00:00,SHORT,S Pullback,229.286,234.93,-2.4616,Fim Tendência (Cinza)
2015-05-03 00:00:00+00:00,2015-05-04 00:00:00+00:00,LONG,L Trend,240.358,229.8777,-4.3603,Alvo Atingido
2015-05-16 00:00:00+00:00,2015-05-29 00:00:00+00:00,LONG,L Pullback,236.153,237.096,0.3993,Fim Tendência (Cinza)
2015-05-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,SHORT,S Trend,233.345,231.3745,0.8444,Alvo Atingido
2015-06-09 00:00:00+00:00,2015-06-16 00:00:00+00:00,SHORT,S Pullback,229.048,250.895,-9.5382,Reversão S→L
2015-06-16 00:00:00+00:00,2015-06-17 00:00:00+00:00,LONG,L Trend,250.895,235.7421,-6.0395,Alvo Atingido
2015-07-16 00:00:00+00:00,2015-08-03 00:00:00+00:00,LONG,L Pullback,278.089,281.227,1.1284,Reversão L→S
2015-08-03 00:00:00+00:00,2015-08-04 00:00:00+00:00,SHORT,S Trend,281.227,283.4525,-0.7914,Alvo Atingido
2015-08-28 00:00:00+00:00,2015-09-07 00:00:00+00:00,SHORT,S Pullback,231.396,239.847,-3.6522,Fim Tendência (Cinza)
2015-09-08 00:00:00+00:00,2015-09-09 00:00:00+00:00,LONG,L Trend,243.607,224.8974,-7.6803,Alvo Atingido
2015-09-21 00:00:00+00:00,2015-10-06 00:00:00+00:00,LONG,L Pullback,227.085,243.1949,7.0942,Alvo Atingido
2015-11-10 00:00:00+00:00,2015-11-16 00:00:00+00:00,LONG,L Pullback,336.819,330.751,-1.8016,Reversão L→S
2015-11-16 00:00:00+00:00,2015-11-17 00:00:00+00:00,SHORT,S Trend,330.751,364.1553,-10.0995,Alvo Atingido
2015-11-26 00:00:00+00:00,2015-12-02 00:00:00+00:00,SHORT,S Pullback,352.684,359.187,-1.8439,Reversão S→L
2015-12-02 00:00:00+00:00,2015-12-03 00:00:00+00:00,LONG,L Trend,359.187,357.642,-0.4301,Alvo Atingido
2015-12-20 00:00:00+00:00,2015-12-29 00:00:00+00:00,LONG,L Pullback,442.685,432.983,-2.1916,Fim Tendência (Cinza)
2015-12-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,SHORT,S Trend,426.62,451.1747,-5.7556,Alvo Atingido
2016-01-07 00:00:00+00:00,2016-01-13 00:00:00+00:00,SHORT,S Pullback,458.048,430.7225,5.9656,Alvo Atingido
2016-01-20 00:00:00+00:00,2016-01-22 00:00:00+00:00,SHORT,S Pullback,420.23,396.646,5.6122,Alvo Atingido
